Books,Price,mrp,Discount,Writer,Rating,People Liked
General Studies Paper 1 2021 for Civil Services Prelimi...,1315,,,"English, Paperback, unknown",4.5,-558
5 Mock Tests for Upsc IAS/ Ips Mains General Studies Pa...,220,?275,20% off,"English, Paperback, unknown",4.6,-55
Important Contemporary Issues,475,,,"English, Paperback, Mehrishi Rajiv",4.6,-114
Upsc General Studies IAS Prelims (26 Years) & Mains (6 ...,999,,,"English, Paperback, unknown",4.5,-316
Super 10 Mock Tests for IAS Prelims Samanya Adhyayan 20...,225,,,"Hindi, Paperback, unknown",4.3,-126
"Indian Economy for Civil Services, Universities and Oth...",740,,,"English, Paperback, unknown",4.5,"-4,777"
Passport to LBSNAA by Pavneet Singh (2nd Edition) | How...,159,?190,16% off,"Paperback, PAVNEET SINGH",4.7,-33
Vidhi Series 18 Bhartiya Samvidhan,115,,,"Hindi, Paperback, unknown",3.8,-58
Passport to LBSNAA | Syllabus | Strategy | BookList |,144,?180,20% off,"Paperback, Pavneet Singh",4.5,-597
Current Affairs MCQS for Prelims 2020,299,?305,1% off,"English, Paperback, Singh Parveen",4.3,-116
Samanya Adhyayan - Prashnapatra I for Civil Seva Praram...,1161,"?1,595",27% off,"Hindi, Paperback, unknown",4.4,-171
Important Judgments That Transformed India,259,?299,13% off,"English, Paperback, George Alex Andrews",4.5,"-5,861"
Study Package for Civil Services IAS Prelims Paper 2 wi...,1005,,,"English, Paperback, unknown",4.4,-9
Challenges to Internal Security of India,294,?345,14% off,"English, Paperback, Kumar Ashok",4.6,"-3,379"
Cracking the Csat Paper-2,780,?845,7% off,"English, Paperback, unknown",4.5,"-7,458"
Mujhe Bananaa Hai Upsc Topper,295,?350,15% off,"Hindi, Book, Jain Nishant",4.5,"-1,711"
Master The Mains – General Studies Mains (GS Paper III)...,358,?375,4% off,"Paperback, Suhas R, Vinay GB",4.4,-416
S Chand's A New Look at Modern Indian History : From 17...,675,,,"Paperback, B L Grover, Alka Mehta",4.5,-57
UPSC Prelims Ultimate Guide Book: All Previous Year Sol...,450,?750,40% off,"Paperback, Gyaniversity Publications",4.3,-21
